,ཐུ་ ནོ་ ཁོའུ་ ],
,སྲུང་འཁོར་ -ཡ་ [ལུང་ ར་] དུ་,
,ཧང་དང་ཡ་ཧང་དང་ཡ་འཕང་བཏང་ཡ་འཕང་བཏང་ཡ་,
བརྫས་ར་,བརྫས་ ར་],ཟློས་དང་
-,དར་ལྕོག་ ལ་ཁ་,-
-,འགྲོ་,-
-,འུན་ ན་],-
-,གས་ ལས་],-
-,ཅང་ཅ་ར་,-
-,ཆི་ ཟིག་ ཡེད་ དགོ་,-
-,ཉི་ ས་ ཀ ས་,-
-,ད་ འཚམས་,-
-,ད་ཀོ་,-
-,དཔར་ རེ་] བཞག་ ཡོད་ ཀི་,-
-,ཕར་ཁ་,-
-,མི་ འུ་] ཟིག་ ན་,-
-,མེ་ ལུ་],-
-,ཚག་ རྩིག་],-
-,ཟེ་ འ་] ཟེར་ གི་,-
-,འགྱར་ རེ་,-
-,འདོན་ གི་,-
-,འིན་ ཨིན་],-
-,འུ་ཚོ་,-
-,འོད་ གི་,-
-,ཡར་འགོ་ [དུ ས་],-
-,ཡས་ གྱི་ ཡོ་ ཟེ་,-
-,ཡས་ ན་ར་,-
-,ཡུན་ གི་ དུས་རྒྱུན་,-
-,ཡུལ་ཚོ་,-
-,ཡེད་ གོ་ ནས་ གོ་],-
-,ཡོག་འ་,-
-,ཡོང་བ་,-
-,ཡོད་ [བདག་ བོ་],-
-,རྒན་མོ ས་,-
-,རང་འ་མི་འགྱོ་འུ་པ་མི་འགྱོ་འུ,-
-,རྫ ས་ དིས་],-
-,རི་ག་,-
-,རི་གེ,-
-,རི་གེ་,-
-,རིག་ -འ་ མི་ རིག་ གི་,-
-,རིག་ དང་] ནི་ -བོ་,-
-,རིག་ བསྡད་ གི་,-
-,རིག་ འདྲེ་ -བོ་,-
-,རིག་ ཡེ་],-
-,རིག་ སིག་],-
-,རིག་སྒེ་,-
-,སྐམ་ གྱི་ བོ ས་,-
-,སོ་མ་,-
-,[ཨེ་ འོང་],-
-,][གཞན་པ་ ],-
-,ཁྱོན་ནས་,-
-,གན་ -དྲ་,གན་ར་
-,གཞན་པ་,-
-,གཞན་པ་དེ་,-
-,གཞན་པ་དེ་,-
-,གཟས་,-
-,གཟི་,-
-,གཡག་,-
-,གཡག་ བཏང་,-
-,གཡུག་,-
-,གཡོས་,-
-,གྱ ར་ ར་,-
-,གྱ་,-
-,གྱ་ ཆུ],-
-,གྱ་ ཆུ་],-
-,གྱག་ རྒྱུ་ མེ་ [ཁུ་]-བོ་,-
-,གྱས་,-
-,གྱི][ས]་,-
-,གྱིས་,-
-,གྱིས་,-
-,གྱིས་ཐིག་,-
-,གྱེ་],-
-,གྱེན་ ལངས་,-
-,གྱོང་,-
-,གྱོབ་,-
-,གྲྭ་ བ་],-
-,གྲེ,-
-,གྲོགས་,-
-,གྲོས་,-
-,གླ་,-
-,གློ་ ཁོས་],-
-,གློ་ གཟུ་],-
-,གློ་རྒྱག་,-
-,གློས་,-
-,གློས་ མོ་],-
-,གློས་རྒན་,-
-,གློས་རྒན་ མ་,-
-,གཤད་,-
-,གཤད་,-
-,གཤིས་འུ་ [རྫ ས་] ནི་ ཡིན་,-
-,གཤུང་,-
-,གཤོབ་,-
-,གཤོབ་ གཏམ་],-
-,གཤོབ་ བཏབ་],-
-,གས་ འ་,-
-,གས་ ལས་],-
-,གསབ་ རེས་ གསེབ་ [ར ས་],-
-,གསའ་,-
-,གསོ་ རྐྱེན་,-
-,གསོས]་,-
-,གསོས་],-
-,གི][ས་],-
-,གི་,-
-,གི་ -མོ་,-
-,གི་ -ར་,-
-,གི་ ད་,-
-,གི་ བཞུ་ ],-
-,གི་ བཞུ་],-
-,གི་ བཞུ་],-
-,གི་ ར་,-
-,གིས་,-
-,གུ་ ལུས་ ཟིག་],-
-,གུ་ ལུས་],-
-,གོ ས་ འདག་],-
-,གོ་,-
-,གོ་ -མོ་,-
-,གོ་ ཁུ་,-
-,གོ་ ཁུ་ ཡ་,-
-,གོ་ ནི་,-
-,གོ་ པ་],-
-,གོ་ ལྡོག་],-
-,གོ་] ཡ་,-
-,གོ་རེ་,-
-,གོ་རེ་,-
-,གོན་,-
-,གོན་,-
-,གོན་ [རྗེ་ ར་],-
-,གོལ་,-
-,གོལ་ གོལ་,-
-,གོལ་ གོལ་,-
-,ང་,-
-,ང་,-
-,ང་ [མྱེ་ གཞིས་],-
-,ང་ ],-
-,ང་ བྱིན་,-
-,ང་ བྱུང་,-
-,ང་ ཚོ་],-
-,ང་],-
-,ང་] [],-
-,ངག་ གི་,-
-,ངན་ གི་,-
-,ངན་ གི་ ངར་གི་,-
-,ངན་ ནི་,-
-,ངས་,-
-,ངས་],-
-,ངས་ངས,-
-,ངས་ངས་,-
-,ངི་ [གྲབ་ བ་],-
-,ངི་ ཙི ས་],-
-,ངི་ ཙེ་,-
-,ངི་ སྐ་,-
-,ངུ་,-
-,ངུ་ ཧུ་],-
-,ངེ,-
-,ངེ་,-
-,ངེ་,-
-,ངེ་,-
-,ངེ་ ནས་],-
-,ངེ་],-
-,ངེ་ཉིས་ [ངེད་ གཉིས་],-
-,ངོ འི་,-
-,ངོ་[མ ས་]],-
-,ངོ་མ ས་,-
-,ངོ་རྫོགས་རྒྱུའོ་,-
-,ངོ་སོ་,-
-,ཅ་ ཁ་],-
-,ཅན་ཀོ་,-
-,ཅན་གོ་,-
-,ཅི་,-
-,ཅིག་,-
-,ཅིག་,-
-,ཅིག་ གི་,-
-,ཅིག་ གིས་,-
-,ཅུང་ཙམ་,-
-,ཆ]་,-
-,ཆ་,-
-,ཆ་,-
-,ཆ་ཡ་,-
-,ཆད་ འཇོག་ གི་,-
-,ཆད་ ལེ་],-
-,ཆས་,-
-,ཆས་,-
-,ཆས་ ཁུ་ ཡེད་,-
-,ཆས་ ཁུ་ ཡེད་],-
-,ཆས་ཀོ་ནས་།ཅི་བྱེད་ཀོ་ནས,-
-,ཆི ་ཟིག་ ཆི་ ཟིག་,-
-,ཆི་ ཅི་,-
-,ཆི་ ཅིག་,-
-,ཆི་ ཟོ་],-
-,ཆི་ ཡི་],-
-,ཆི་ ཡིན་] འདུག་ གམ་,-
-,ཆི་ ཡེད་ དགོ་ ནི,-
-,ཆི་ ཡེད་] དགོ་ འགྲེ་ ད་,-
-,ཆི་ ཡེད་] བཏང་ ཐ་,-
-,ཆི་ ར་,-
-,ཆི་གེ་,-
-,ཆི་ཆོས་,-
-,ཆི་ནས་,-
-,ཆི་ཟིག་ -ཡ་ [འགྱོ་ དགོ་],-
-,ཆི་ཟིག་ [ཆི ས་] [རྫ ས་],-
-,ཆི་ཟིག་ [ཡེད་ བཞག་ གི་ ],-
-,ཆི་ཟིག་ གི་ [ཡི་ འེ་],-
-,ཆི་ཟིག་ ཡིན་ འགྲེ་ [རྫ ས་],-
-,ཆི་ཟིག་ ཡིས་ ཁུ་ ཡོད་ ནས་,-
-,ཆི་ཟིག་ ཡེད་ དགོ་ ནི་ རེད་དྲ་,-
-,ཆི་ཟིག་ ཡེད་ དགོ་ འི་,-
-,ཆི་ཟིག་ཡིས་གོ་ནེ་ཆི་གོ་,-
-,ཆི་ཟིག་ཡིས་དང་ད་,-
-,ཆི་རེད་ ཅི་ རེད,-
-,ཆིག་ འགྲིག་] རེ་ -བོ་,-
-,ཆིག་ འས་],-
-,ཆིག་ ཡས་ བཏན་ ན་,-
-,ཆིས་ནས་,-
-,ཆུ ས་ ཆུ ས་],-
