༄༅ རྒྱ་ གར་ སྐད་ དུ །_ 319
༄༅ དཀོན་ མཆོག་ གསུམ་ ལ་ ཕྱག་ 83
འདུལ་ བ་ ལ་ བསླབ་ པའི་ གཞི་ 313
འདུལ་ བ་ ལ་ རབ་ ཏུ་ བྱུང་ 138
འདུལ་ བ་ ལ་ རབ་ ཏུ་ འབྱུང་ 153
འདུལ་ བ་ ལ་ ཉན་ ཐོས་ རྣམས་ 244
འདུལ་ བ་ རྣམས་ ལ །_ དེ་ 45
འདུལ་ བ་ རྣམ་ པར་ འབྱེད་ པ 111
འདུལ་ བ་ འཛིན་ པ་ དང་ །_ 58
འདུལ་ བ་ ཕྲན་ ཚེགས་ ཀྱི་ གཞི 58
འདུལ་ བ་ གཞི །_ བམ་ པོ་ 108
འདུལ་ བ་ གཞུང་ དམ་ པ །_ 53
འདུལ་ བའི་ ཁ་ ལོ་ སྒྱུར་ བ་ 153
འདུལ་ བའི་ ཁ་ ལོ་ སྒྱུར་ བ 172
འདུལ་ བའི་ སེམས་ ཅན་ རྣམས་ ལ་ 101
བ་ བཞུགས་ སོ །_། དེའི་ སྟེང་ 214
བ་ བཞུགས་ ཏེ །_ ཡང་ ཤཱ་ 49
བ་ བཞུགས་ ཏེ་ འཚོ་ ཞིང་ གཞེས་ 472
བ་ རྒྱ་ ཆེན་ པོས་ ཁྱབ་ པར་ 45
བ་ པའི་ བདག་ པོ་ ཕྱག་ ན་ 86
བ་ པའི་ བདག་ པོ་ དེ་ ལ་ 46
བ་ པའི་ བདག་ པོ་ གཞན་ ཡང་ 47
བ་ པའི་ བདག་ པོ་ ལག་ ན་ 305
བ་ པའི་ བདག་ པོས་ སྨྲས་ པ 52
བ་ པའི་ སེམས་ ཅན་ དེ་ དག་ 46
བ་ པོ་ རྣམ་ པར་ དག་ པ་ 665
བ་ པོ་ ཡོངས་ སུ་ དག་ པ་ 415
བ་ པོ་ ཡོངས་ སུ་ དག་ པས 206
བ་ དང་ །_ ཐམས་ ཅད་ མཁྱེན་ 86
བ་ དང་ །_ ཕྱག་ བྱ་ བ་ 119
