༄༅ རྒྱ་ གར་ སྐད་ དུ །_ ཨཱརྱ་ 185
༄༅ དཀོན་ མཆོག་ གསུམ་ ལ་ ཕྱག་ འཚལ་ 83
འདུལ་ བ་ ལ་ བསླབ་ པའི་ གཞི་ འདི་ 293
འདུལ་ བ་ ལ་ རབ་ ཏུ་ བྱུང་ བ་ 62
འདུལ་ བ་ ལ་ རབ་ ཏུ་ འབྱུང་ བ་ 115
འདུལ་ བ་ ལ་ ཉན་ ཐོས་ རྣམས་ ཀྱི་ 242
འདུལ་ བ་ རྣམས་ ལ །_ དེ་ བཞིན་ 45
འདུལ་ བ་ རྣམ་ པར་ འབྱེད་ པ །_ 111
འདུལ་ བ་ འཛིན་ པ་ དང་ །_ མ་ 56
འདུལ་ བ་ ཕྲན་ ཚེགས་ ཀྱི་ གཞི །_ 58
འདུལ་ བ་ གཞུང་ དམ་ པ །_ བམ་ 52
འདུལ་ བའི་ ཁ་ ལོ་ སྒྱུར་ བ་ བླ་ 150
འདུལ་ བའི་ ཁ་ ལོ་ སྒྱུར་ བ །_ 171
བ་ བཞུགས་ སོ །_། དེའི་ སྟེང་ འཇིག་ 48
བ་ བཞུགས་ སོ །_། དེའི་ སྟེང་ ན་ 165
བ་ བཞུགས་ ཏེ །_ ཡང་ ཤཱ་ རིའི་ 49
བ་ བཞུགས་ ཏེ་ འཚོ་ ཞིང་ གཞེས་ ལ་ 464
བ་ པའི་ བདག་ པོ་ ཕྱག་ ན་ རྡོ་ 86
བ་ པའི་ བདག་ པོ་ ལག་ ན་ རྡོ་ 305
བ་ པའི་ བདག་ པོས་ སྨྲས་ པ །_ 51
བ་ པོ་ རྣམ་ པར་ དག་ པ་ དང་ 221
བ་ པོ་ རྣམ་ པར་ དག་ པ་ གང་ 220
བ་ པོ་ རྣམ་ པར་ དག་ པ་ སྟེ 221
བ་ པོ་ ཡོངས་ སུ་ དག་ པ་ དང་ 208
བ་ པོ་ ཡོངས་ སུ་ དག་ པ་ སྟེ 207
བ་ པོ་ ཡོངས་ སུ་ དག་ པས །_ 206
བ་ དང་ །_ ཐམས་ ཅད་ མཁྱེན་ པའི་ 45
བ་ དང་ །_ ཐམས་ ཅད་ མཁྱེན་ པ་ 40
བ་ དང་ །_ ཕྱག་ བྱ་ བ་ དང་ 115
བ་ དང་ །_ ཕྱག་ བགྱི་ བ་ དང་ 57
བ་ དང་ །_ འཇིག་ རྟེན་ ལ་ སྙིང་ 72
བ་ དང་ །_ འཇིག་ རྟེན་ ལ་ ཐུགས་ 45
བ་ དང་ །_ འཇིག་ རྟེན་ གྱི་ ཁམས་ 115
བ་ དང་ །_ ཆོས་ སྟོན་ པ་ དེ་ 55
བ་ དང་ །_ མཆོག་ ཏུ་ དགའ་ བ་ 106
བ་ དང་ །_ སྡུག་ བསྔལ་ བ་ དང་ 51
བ་ དང་ །_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ 308
བ་ དང་ །_ འགྲོ་ བ་ དང་ །_ 42
བ་ དང་ །_ འགྲོ་ བ་ ཐམས་ ཅད་ 48
བ་ དང་ །_ བསླབ་ པའི་ གཞི་ རྣམས་ 41
བ་ དང་ །_ བསླབ་ པའི་ གཞི་ དག་ 45
བ་ དང་ །_ སངས་ རྒྱས་ ཐམས་ ཅད་ 82
བ་ དང་ །_ སངས་ རྒྱས་ ཀྱི་ ཆོས་ 118
བ་ དང་ །_ སངས་ རྒྱས་ ཀྱི་ ཞིང་ 154
བ་ དང་ །_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ 61
བ་ དང་ །_ གང་ ཟག་ ཏུ་ ལྟ་ 61
བ་ དང་ །_ གནས་ པ་ དང་ །_ 55
བ་ དང་ །_ ཀུན་ སྣང་ དང་ བ་ 46
བ་ དང་ །_ དགེ་ བ་ དང་ །_ 52
བ་ དང་ །_ དགེ་ བའི་ བཤེས་ གཉེན་ 57
བ་ དང་ །_ དགེ་ བའི་ རྩ་ བ་ 115
བ་ དང་ །_ དགེ་ རྒྱས་ དང་ །_ 47
བ་ དང་ །_ ཚུལ་ བཞིན་ དུ་ ཡིད་ 40
བ་ དང་ །_ རྣམ་ པ་ ཐམས་ ཅད་ 48
བ་ དང་ །_ རྣམ་ པར་ འཇིག་ པའི་ 50
བ་ དང་ །_ རྣམ་ པར་ གྲོལ་ བའི་ 100
བ་ དང་ །_ རྣམ་ པར་ ཤེས་ པ་ 46
བ་ དང་ །_ རྣམ་ པར་ འཐོར་ བ་ 51
བ་ དང་ །_ ཡི་ དགས་ དང་ །_ 156
བ་ དང་ །_ མྱ་ ངན་ དང་ །_ 232
བ་ དང་ །_ མྱ་ ངན་ ལས་ འདས་ 92
