༄༅ དཀོན་ མཆོག་ གསུམ་ ལ་ ཕྱག་ འཚལ་ ལོ 83
འདུལ་ བ་ ལ་ བསླབ་ པའི་ གཞི་ འདི་ ལྟར་ 292
འདུལ་ བ་ ལ་ རབ་ ཏུ་ བྱུང་ བ་ དང་ 40
འདུལ་ བ་ ལ་ རབ་ ཏུ་ འབྱུང་ བ་ དང་ 114
འདུལ་ བ་ ལ་ ཉན་ ཐོས་ རྣམས་ ཀྱི་ བསླབ་ 242
འདུལ་ བ་ རྣམས་ ལ །_ དེ་ བཞིན་ གཤེགས་ 45
འདུལ་ བ་ རྣམ་ པར་ འབྱེད་ པ །_ བམ་ 111
འདུལ་ བ་ འཛིན་ པ་ དང་ །_ མ་ མོ་ 48
འདུལ་ བ་ ཕྲན་ ཚེགས་ ཀྱི་ གཞི །_ བམ་ 58
འདུལ་ བ་ གཞུང་ དམ་ པ །_ བམ་ པོ་ 52
འདུལ་ བའི་ ཁ་ ལོ་ སྒྱུར་ བ་ བླ་ ན་ 150
འདུལ་ བའི་ ཁ་ ལོ་ སྒྱུར་ བ །_ བླ་ 133
བ་ བཞུགས་ སོ །_། དེའི་ སྟེང་ འཇིག་ རྟེན་ 48
བ་ བཞུགས་ སོ །_། དེའི་ སྟེང་ ན་ འཇིག་ 165
བ་ བཞུགས་ ཏེ །_ ཡང་ ཤཱ་ རིའི་ བུ་ 49
བ་ བཞུགས་ ཏེ་ འཚོ་ ཞིང་ གཞེས་ ལ་ ཆོས་ 445
བ་ པའི་ བདག་ པོ་ ཕྱག་ ན་ རྡོ་ རྗེ་ 53
བ་ པའི་ བདག་ པོ་ ལག་ ན་ རྡོ་ རྗེས་ 98
བ་ པའི་ བདག་ པོ་ ལག་ ན་ རྡོ་ རྗེ་ 174
བ་ པོ་ རྣམ་ པར་ དག་ པ་ དང་ །_ 221
བ་ པོ་ རྣམ་ པར་ དག་ པ་ གང་ ཡིན་ 220
བ་ པོ་ རྣམ་ པར་ དག་ པ་ སྟེ །_ 221
བ་ པོ་ ཡོངས་ སུ་ དག་ པ་ དང་ །_ 208
བ་ པོ་ ཡོངས་ སུ་ དག་ པ་ སྟེ །_ 207
བ་ དང་ །_ ཕྱག་ བྱ་ བ་ དང་ །_ 110
བ་ དང་ །_ ཕྱག་ བགྱི་ བ་ དང་ །_ 54
བ་ དང་ །_ འཇིག་ རྟེན་ ལ་ སྙིང་ བརྩེ་ 72
བ་ དང་ །_ འཇིག་ རྟེན་ ལ་ ཐུགས་ བརྩེ་ 45
བ་ དང་ །_ འཇིག་ རྟེན་ གྱི་ ཁམས་ ཐམས་ 41
བ་ དང་ །_ ཆོས་ སྟོན་ པ་ དེ་ དག་ 55
བ་ དང་ །_ སྡུག་ བསྔལ་ བ་ དང་ །_ 48
བ་ དང་ །_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བ་ 117
བ་ དང་ །_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ 191
བ་ དང་ །_ སངས་ རྒྱས་ ཐམས་ ཅད་ ཀྱི་ 49
བ་ དང་ །_ སངས་ རྒྱས་ ཀྱི་ ཆོས་ ཐམས་ 55
བ་ དང་ །_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ 61
བ་ དང་ །_ གང་ ཟག་ ཏུ་ ལྟ་ བ་ 51
བ་ དང་ །_ ཀུན་ སྣང་ དང་ བ་ དང་ 46
བ་ དང་ །_ དགེ་ བ་ དང་ །_ ཆུང་ 44
བ་ དང་ །_ དགེ་ རྒྱས་ དང་ །_ ཆེ་ 42
བ་ དང་ །_ ཚུལ་ བཞིན་ དུ་ ཡིད་ ལ་ 40
བ་ དང་ །_ རྣམ་ པར་ འཇིག་ པའི་ ཆོས་ 48
བ་ དང་ །_ རྣམ་ པར་ གྲོལ་ བའི་ ཡེ་ 93
བ་ དང་ །_ རྣམ་ པར་ འཐོར་ བ་ དང་ 51
བ་ དང་ །_ ཡི་ དགས་ དང་ །_ དུད་ 134
བ་ དང་ །_ མྱ་ ངན་ དང་ །_ སྨྲེ་ 225
བ་ དང་ །_ མྱ་ ངན་ ལས་ འདས་ པ་ 57
བ་ དང་ །_ ཡང་ དག་ པའི་ རྩོལ་ བ་ 40
བ་ དང་ །_ ཡང་ དག་ པར་ བསྟན་ པ་ 78
བ་ དང་ །_ ན་ བ་ དང་ །_ འཆི་ 320
བ་ དང་ །_ རབ་ ཏུ་ ཚ་ བ་ དང་ 47
བ་ དང་ །_ མི་ དགེ་ བ་ དང་ །_ 51
བ་ དང་ །_ མི་ དགེ་ བ་ དེ་ མ་ 43
བ་ དང་ །_ མི་ རྟག་ ཅེས་ བྱ་ བར་ 52
བ་ དང་ །_ མི་ དབེན་ ཞེས་ བྱ་ བར་ 47
བ་ དང་ །_ མི་ འམ་ ཅིའི་ བུ་ མོ་ 49
བ་ དང་ །_ མི་ གདུང་ བ་ དང་ །_ 59
བ་ དང་ །_ ཤིན་ ཏུ་ མཐོང་ བ་ དང་ 42
བ་ དང་ །_ དེ་ བཞིན་ གཤེགས་ པ་ ཐམས་ 53
བ་ དང་ །_ དེ་ ལྟ་ ལགས་ སོ་ ཞེས་ 51
བ་ དང་ །_ ཡོངས་ སུ་ མྱ་ ངན་ ལས་ 66
བ་ དང་ །_ ཡོངས་ སུ་ ཤེས་ པར་ བྱ་ 112
བ་ དང་ །_ ཡོངས་ སུ་ བསྐྱང་ བ་ དང་ 70
བ་ དང་ །_ ཡོངས་ སུ་ བསྐྱབ་ པ་ དང་ 42
བ་ དང་ །_ བདག་ དང་ །_ ཡོངས་ སུ་ 105
བ་ དང་ །_ བདག་ མེད་ པ་ དང་ །_ 72
བ་ དང་ །_ བདག་ མེད་ ཅེས་ བྱ་ བ་ 46
བ་ དང་ །_ བདག་ མྱེད་ ཅེས་ བྱ་ བ་ 85
བ་ དང་ །_ བདག་ མྱེད་ ཅེས་ བྱ་ བར་ 151
