༄༅ དཀོན་ མཆོག་ གསུམ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། 81
འདུལ་ བ་ ལ་ བསླབ་ པའི་ གཞི་ འདི་ ལྟར་ གདོན་ 292
འདུལ་ བ་ ལ་ རབ་ ཏུ་ འབྱུང་ བ་ དང་ བསྙེན་ 71
འདུལ་ བ་ ལ་ ཉན་ ཐོས་ རྣམས་ ཀྱི་ བསླབ་ པའི་ 242
འདུལ་ བ་ རྣམས་ ལ །_ དེ་ བཞིན་ གཤེགས་ པ་ 45
འདུལ་ བ་ རྣམ་ པར་ འབྱེད་ པ །_ བམ་ པོ་ 111
འདུལ་ བ་ འཛིན་ པ་ དང་ །_ མ་ མོ་ འཛིན་ 48
འདུལ་ བ་ ཕྲན་ ཚེགས་ ཀྱི་ གཞི །_ བམ་ པོ་ 58
འདུལ་ བའི་ ཁ་ ལོ་ སྒྱུར་ བ་ བླ་ ན་ མེད་ 150
འདུལ་ བའི་ ཁ་ ལོ་ སྒྱུར་ བ །_ བླ་ ན་ 132
བ་ བཞུགས་ སོ །_། དེའི་ སྟེང་ འཇིག་ རྟེན་ གྱི་ 48
བ་ བཞུགས་ སོ །_། དེའི་ སྟེང་ ན་ འཇིག་ རྟེན་ 165
བ་ བཞུགས་ ཏེ་ འཚོ་ ཞིང་ གཞེས་ ལ་ ཆོས་ ཀྱང་ 445
བ་ པའི་ བདག་ པོ་ ཕྱག་ ན་ རྡོ་ རྗེ་ ལ་ 41
བ་ པའི་ བདག་ པོ་ ལག་ ན་ རྡོ་ རྗེ་ ལ་ 69
བ་ པོ་ རྣམ་ པར་ དག་ པ་ གང་ ཡིན་ པ་ 220
བ་ པོ་ རྣམ་ པར་ དག་ པ་ སྟེ །_ དེ་ 221
བ་ པོ་ ཡོངས་ སུ་ དག་ པ་ སྟེ །_ དེ་ 207
བ་ དང་ །_ ཕྱག་ བྱ་ བ་ དང་ །_ བསྙེན་ 72
བ་ དང་ །_ ཕྱག་ བགྱི་ བ་ དང་ །_ བསྙེན་ 46
བ་ དང་ །_ འཇིག་ རྟེན་ ལ་ སྙིང་ བརྩེ་ བ་ 63
བ་ དང་ །_ འཇིག་ རྟེན་ ལ་ ཐུགས་ བརྩེ་ བ་ 43
བ་ དང་ །_ འཇིག་ རྟེན་ གྱི་ ཁམས་ ཐམས་ ཅད་ 41
བ་ དང་ །_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བ་ དང་ 115
བ་ དང་ །_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ གནས་ 105
བ་ དང་ །_ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ ཡོངས་ 83
བ་ དང་ །_ སངས་ རྒྱས་ ཀྱི་ ཆོས་ ཐམས་ ཅད་ 55
བ་ དང་ །_ ཀུན་ སྣང་ དང་ བ་ དང་ །_ 44
བ་ དང་ །_ དགེ་ བ་ དང་ །_ ཆུང་ དགེ་ 44
བ་ དང་ །_ དགེ་ རྒྱས་ དང་ །_ ཆེ་ བ་ 42
བ་ དང་ །_ རྣམ་ པར་ གྲོལ་ བའི་ ཡེ་ ཤེས་ 93
བ་ དང་ །_ རྣམ་ པར་ འཐོར་ བ་ དང་ །_ 51
བ་ དང་ །_ ཡི་ དགས་ དང་ །_ དུད་ འགྲོ་ 69
བ་ དང་ །_ ཡི་ དགས་ དང་ །_ དུད་ འགྲོའི་ 59
བ་ དང་ །_ མྱ་ ངན་ དང་ །_ སྨྲེ་ སྔགས་ 225
བ་ དང་ །_ ཡང་ དག་ པར་ བསྟན་ པ་ བྱས་ 76
བ་ དང་ །_ ན་ བ་ དང་ །_ འཆི་ བ་ 293
བ་ དང་ །_ རབ་ ཏུ་ ཚ་ བ་ དང་ །_ 45
བ་ དང་ །_ མི་ དགེ་ བ་ དེ་ མ་ ཡིན་ 43
བ་ དང་ །_ ཤིན་ ཏུ་ མཐོང་ བ་ དང་ །_ 41
བ་ དང་ །_ དེ་ བཞིན་ གཤེགས་ པ་ ཐམས་ ཅད་ 53
བ་ དང་ །_ དེ་ ལྟ་ ལགས་ སོ་ ཞེས་ བྱ་ 51
བ་ དང་ །_ ཡོངས་ སུ་ ཤེས་ པར་ བྱ་ བ་ 112
བ་ དང་ །_ ཡོངས་ སུ་ བསྐྱང་ བ་ དང་ །_ 69
བ་ དང་ །_ ཡོངས་ སུ་ བསྐྱབ་ པ་ དང་ །_ 42
བ་ དང་ །_ བདག་ དང་ །_ ཡོངས་ སུ་ དག་ 105
བ་ དང་ །_ བདག་ མེད་ ཅེས་ བྱ་ བ་ དང་ 46
བ་ དང་ །_ བདག་ མྱེད་ ཅེས་ བྱ་ བ་ དང་ 85
བ་ དང་ །_ བདག་ མྱེད་ ཅེས་ བྱ་ བར་ གནས་ 74
བ་ དང་ །_ བདག་ མྱེད་ ཅེས་ བྱ་ བར་ ཡོངས་ 77
བ་ དང་ །_ འབྲས་ བུ་ ཆེ་ བ་ དང་ །_ 42
བ་ དང་ །_ ཕྱིར་ མི་ འོང་ བ་ དང་ །_ 136
བ་ དང་ །_ མ་ ཞི་ ཞེས་ བྱ་ བར་ གནས་ 106
བ་ དང་ །_ མ་ ཞི་ ཞེས་ བྱ་ བར་ ཡོངས་ 79
བ་ དང་ །_ དགྲ་ བཅོམ་ པ་ དང་ །_ རང་ 68
བ་ དང་ །_ བཅོམ་ ལྡན་ འདས་ ག་ ལ་ བ་ 101
བ་ དང་ །_ ཞི་ བ་ དང་ བདེ་ ལེགས་ སུ་ 58
བ་ དང་ །_ ཞི་ ཞེས་ བྱ་ བ་ དང་ །_ 134
བ་ དང་ །_ ཇི་ ལྟར་ ནན་ ཏན་ དུ་ བགྱི་ 54
བ་ དང་ །_ རྒ་ བ་ དང་ །_ ན་ བ་ 279
བ་ དང་ །_ འཆི་ བ་ དང་ །_ མྱ་ ངན་ 227
བ་ དང་ །_ མངོན་ པར་ འདུ་ བྱ་ བ་ མྱེད་ 86
བ་ དང་ །_ མངོན་ པར་ རྟོགས་ པ་ དང་ །_ 55
བ་ དང་ །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ཐམས་ ཅད་ 42
བ་ དང་ །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ དཔའ་ 156
བ་ དང་ །_ ཉན་ ཐོས་ དང་ །_ རང་ སངས་ 51
བ་ དང་ །_ ཁ་ ཏོན་ དུ་ བྱ་ བའི་ ཕྱིར་ 40
བ་ དང་ །_ སེམས་ ཅན་ ཡོངས་ སུ་ སྨིན་ པར་ 44
བ་ དང་ །_ དུད་ འགྲོ་ དང་ །_ ཡི་ དགས་ 185
བ་ དང་ །_ དུད་ འགྲོའི་ སྐྱེ་ གནས་ དང་ །_ 155
བ་ དང་ །_ སྐྱེས་ བུ་ དང་ །_ གང་ ཟག་ 53
བ་ དང་ །_ བླ་ ན་ མེད་ པ་ ཡང་ དག་ 49
བ་ དང་ །_ བསྙེན་ བཀུར་ བྱ་ བ་ དང་ །_ 53
བ་ དང་ །_ བསྙེན་ བཀུར་ བགྱི་ བ་ དང་ །_ 41
བ་ དང་ །_ བཀུར་ སྟིར་ བྱ་ བ་ དང་ །_ 72
བ་ དང་ །_ ལུས་ ཀྱི་ འདུས་ ཏེ་ རེག་ པའི་ 68
བ་ དང་ །_ ལོ་ ལེགས་ པ་ དང་ །_ སྐྱེ་ 54
བ་ དང་ །_ གསལ་ བ་ དང་ །_ མངོན་ པར་ 56
བ་ དང་ །_ དབེན་ ཞེས་ བྱ་ བར་ དམྱིགས་ པའི་ 98
བ་ དང་ །_ ཡིད་ ཀྱི་ འདུས་ ཏེ་ རེག་ པའི་ 69
བ་ དང་ །_ ཡིད་ མི་ བདེ་ བ་ དང་ །_ 289
བ་ དང་ །_ ཡིད་ མྱི་ བདེ་ བ་ དང་ །_ 55
བ་ དང་ །_ མཚན་ མ་ མེད་ ཅེས་ བྱ་ བ་ 47
བ་ དང་ །_ མཚན་ མ་ མྱེད་ ཅེས་ བྱ་ བ་ 80
བ་ དང་ །_ མཚན་ མ་ མྱེད་ ཅེས་ བྱ་ བར་ 165
བ་ དང་ །_ ཆད་ པ་ སྤང་ བ་ དང་ །_ 54
བ་ དང་ །_ སྣ་ དང་ །_ ལྕེ་ དང་ །_ 350
བ་ དང་ །_ འདུ་ ཤེས་ དང་ །_ འདུ་ བྱེད་ 1407
བ་ དང་ །_ མུ་ སྟེགས་ ཅན་ དང་ །_ མུ་ 52
བ་ དང་ །_ ཕུ་ དུད་ དུ་ བྱ་ བ་ དང་ 55
བ་ དང་ །_ ལུང་ འབོག་ པ་ དང་ །_ ཁ་ 78
བ་ དང་ །_ སྟོང་ པ་ དང་ །_ བདག་ མེད་ 100
བ་ དང་ །_ སྟོང་ ཞེས་ བྱ་ བ་ དང་ །_ 126
བ་ དང་ །_ སྤོས་ དང་ །_ བྱུག་ པ་ དང་ 148
བ་ དང་ །_ སྣའི་ འདུས་ ཏེ་ རེག་ པའི་ རྐྱེན་ 67
བ་ དང་ །_ སྣའི་ འདུས་ ཏེ་ རེག་ པ་ ལས་ 40
བ་ དང་ །_ ཀློག་ པ་ དང་ །_ ཀུན་ ཆུབ་ 202
བ་ དང་ །_ གླེན་ པ་ དང་ །_ ལྐུགས་ པ་ 66
བ་ དང་ །_ འགོག་ པ་ དང་ །_ ལམ་ ཡང་ 44
བ་ དང་ །_ གྱ་ ནོམ་ སྣང་ བ་ དང་ །_ 60
བ་ དང་ །_ བྱུག་ པ་ དང་ །_ ཕྱེ་ མ་ 98
བ་ དང་ །_ མན་ དཱ་ ར་ བ་ ཆེན་ པོ་ 60
བ་ དང་ །_ སུག་ པ་ རྐང་ པ་ ལ་ ཕྱག་ 41
བ་ དང་ །_ བསྐྱབ་ པ་ དང་ །_ སྦ་ བར་ 59
བ་ དང་ །_ རྫུ་ འཕྲུལ་ གྱི་ རྐང་ པ་ དང་ 211
བ་ དང་ །_ འཁྲུག་ པ་ ལས་ ཡོངས་ སུ་ མི་ 86
བ་ དང་ །_ སྨོན་ པ་ མྱེད་ ཅེས་ བྱ་ བ་ 86
བ་ དང་ །_ སྨོན་ པ་ མྱེད་ ཅེས་ བྱ་ བར་ 163
བ་ དང་ །_ ལྕེའི་ འདུས་ ཏེ་ རེག་ པའི་ རྐྱེན་ 67
བ་ དང་ །_ དཔེ་ དང་ །_ རྒྱུར་ ཡང་ ཉེ་ 46
བ་ དང་ །_ འགྲིབ་ པར་ བྱ་ བའི་ ཕྱིར་ མྱི་ 213
བ་ དང་ །_ བྱོལ་ སོང་ གི་ སྐྱེ་ གནས་ དང་ 72
བ་ དང་ །_ སྲེད་ པ་ དང་ །_ ལེན་ པ་ 53
བ་ དང་ །_ མྱེད་ པར་ བྱ་ བའི་ ཕྱིར་ མྱི་ 417
བ་ དང་ །_ མྱི་ སྡུག་ ཅེས་ བྱ་ བར་ གནས་ 92
བ་ དང་ །_ མྱི་ སྡུག་ ཅེས་ བྱ་ བར་ ཡོངས་ 81
བ་ དང་ །_ མྱི་ རྟག་ ཅེས་ བྱ་ བར་ གནས་ 78
བ་ དང་ །_ མྱི་ རྟག་ ཅེས་ བྱ་ བར་ ཡོངས་ 78
བ་ དང་ །_ མྱི་ དབེན་ ཞེས་ བྱ་ བར་ གནས་ 73
བ་ དང་ །_ མྱི་ དབེན་ ཞེས་ བྱ་ བར་ ཡོངས་ 74
བ་ དང་ །_ མྱི་ སྟོང་ ཞེས་ བྱ་ བར་ གནས་ 82
བ་ དང་ །_ མྱི་ སྟོང་ ཞེས་ བྱ་ བར་ ཡོངས་ 79
བ་ དང་ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ ཡོངས་ སུ་ 44
བ་ དང་ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ མྱི་ སྤྲོ་ 51
བ་ དང་ གང་ ལ་ བརྩོན་ པར་ བྱ་ བ་ དེ་ 98
བ་ དང་ བཅས་ པ་ དང་ །_ ཁ་ ན་ མ་ 48
བ་ དང་ མི་ དགེ་ བ་ བྱས་ ཤིང་ བསགས་ པ་ 99
བ་ དང་ བདག་ གིར་ བགྱི་ བ་ ལ་ གནས་ པའི་ 112
བ་ དང་ བདེ་ བ་ ཅན་ བསམ་ གཏན་ དང་ པོ་ 42
བ་ དང་ མ་ ཞི་ བ་ ཞེས་ བྱ་ བར་ མྱི་ 48
བ་ དང་ མ་ ཞི་ ཞེས་ བྱ་ བར་ ཡོངས་ སུ་ 45
བ་ དང་ ལྡན་ པའི་ བསོད་ ནམས་ བྱ་ བའི་ དངོས་ 65
བ་ དང་ བསྙེན་ པར་ རྫོགས་ པ་ དགེ་ སློང་ གི་ 69
བ་ དང་ རྗེས་ སུ་ སྦྱོར་ བ་ ལ་ བརྩོན་ པར་ 47
བ་ དང་ ། སྣ་ དང་ ། ལྕེ་ དང་ ། 60
བ་ དང་ ། འདུ་ ཤེས་ དང་ ། འདུ་ བྱེད་ 161
བ་ དང་ སྣ་ དང་ ལྕེ་ དང་ ལུས་ དང་ ཡིད་ 51
བ་ དང་ བཅའ་ བ་ གཙང་ མ་ བཟང་ པོ་ མང་ 49
བ་ དང་ འདུ་ ཤེས་ དང་ འདུ་ བྱེད་ དང་ །_ 150
བ་ དང་ འདུ་ ཤེས་ དང་ འདུ་ བྱེད་ དང་ རྣམ་ 176
བ་ དང་ འདུ་ ཤེས་ དང་ འདུ་ བྱེད་ རྣམས་ དང་ 125
བ་ དང་ ཀློག་ པ་ དང་ ཀུན་ ཆུབ་ པར་ བྱེད་ 58
བ་ དང་ འགྲིབ་ པ་ མ་ དམིགས་ ཡང་ དག་ པར་ 146
བ་ དང་ འགྲིབ་ པ་ མ་ དམྱིགས་ ཡང་ དག་ པར་ 248
བ་ དང་ བསྣན་ པ་ མ་ མཆིས་ པར་ བསླབ་ པར་ 110
བ་ དང་ བསྣན་ པ་ མྱེད་ པར་ བསླབ་ པར་ བྱའོ 105
བ་ ཐམས་ ཅད་ ཀྱང་ །_ རྣམ་ པ་ ཐམས་ ཅད་ 336
བ་ ཐམས་ ཅད་ ཀྱང་ རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ 490
བ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། དེ་ བཞིན་ གཤེགས་ 700
བ་ ལ་ བསླབ་ པའི་ གཞི་ འདི་ ལྟར་ གདོན་ པར་ 292
བ་ ལ་ གནས་ པ །_ འགོག་ པ་ ལ་ གནས་ 75
བ་ ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ །_། 52
བ་ ལ་ རབ་ ཏུ་ འབྱུང་ བ་ དང་ བསྙེན་ པར་ 71
བ་ ལ་ མཁས་ པར་ རིག་ པར་ བྱའོ །_། བྱང་ 255
བ་ ལ་ ཉན་ ཐོས་ རྣམས་ ཀྱི་ བསླབ་ པའི་ གཞི་ 241
བ་ ལ་ སྤྱོད་ པའི་ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ 53
བ་ ལ་ སྤྱོད་ ཀྱི །_ ཤེས་ རབ་ ཀྱི་ ཕ་ 92
བ་ ལ་ སྤྱོད་ དེ །_ དེ་ ནི་ སྐྱེ་ བ་ 107
བ་ ལ་ སོགས་ པ་ ཡང་ སྔ་ མ་ བཞིན་ ཏེ 106
བ་ ལ་ སོགས་ པ་ སྔ་ མ་ བཞིན་ ནོ །_། 261
བ་ ལ་ དགོད་ དོ་ ཞེས་ དབུགས་ འབྱིན་ པ་ རྙེད་ 59
བ་ དན་ དང་ །_ སིལ་ སྙན་ སྣ་ ཚོགས་ ཀྱིས་ 63
བ་ འཇིག་ རྟེན་ དུ་ བྱུང་ ངོ་ །_། དེའི་ ཕ་ 45
བ་ འཇིག་ རྟེན་ གྱི་ ཁམས་ སངས་ རྒྱས་ ཀྱི་ ཞིང་ 58
བ་ མེད་ པ་ དང་ །_ འགག་ པ་ མེད་ པ་ 114
བ་ མེད་ པ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ 82
བ་ མེད་ པ་ སྟོང་ པ་ ཉིད་ དང་ །_ རང་ 118
བ་ མེད་ པར་ རྗེས་ སུ་ ལྟ་ བར་ གནས་ པའམ 40
བ་ མེད་ ཅིང་ རྣམ་ པར་ རྟོག་ པ་ མེད་ པ་ 109
བ་ མེད་ ཅེས་ བྱ་ བར་ དེ་ མི་ དམིགས་ པའི་ 78
བ་ མེད་ དོ །_། རྣམ་ པ་ ཐམས་ ཅད་ མཁྱེན་ 40
བ་ མེད་ དོ །_། དེ་ ཅིའི་ ཕྱིར་ ཞེ་ ན 87
བ་ མེད་ དོ །_། ལས་ དང་ པོ་ པ་ དང་ 67
བ་ བར་ མ་ དང་ འདྲ་ བ་ ཡང་ བཟླས་ ཏེ་ 53
བ་ བར་ མ་ ལྟུང་ བ་ སྔ་ མ་ དང་ འདྲ་ 96
བ་ གང་ ཡིན་ པའི་ ཆོས་ དེ་ དག་ ཐམས་ ཅད་ 43
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ ཚུལ་ ཁྲིམས་ ཀྱིའོ 53
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ བརྩོན་ འགྲུས་ ཀྱིའོ 45
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ ཤེས་ རབ་ ཀྱི་ 59
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ བཟོད་ པའིའོ །_། 41
